host_time_s,firmware_timestamp_ms,phase,pinvAlloc.errT,pinvAlloc.errR,pinvAlloc.errP,pinvAlloc.errY,pinvAlloc.objective
4.775959001010051,14270,takeoff,0.0,0.0,0.0,0.0,0.0
4.797787779010832,14292,takeoff,0.0,0.0,0.0,0.0,0.0
4.818296592013212,14312,takeoff,0.0,0.0,0.0,0.0,0.0
4.838027207995765,14332,takeoff,0.0,0.0,0.0,0.0,0.0
4.857739633996971,14352,takeoff,0.0,0.0,0.0,0.0,0.0
4.876533853006549,14370,takeoff,0.0,0.0,0.0,0.0,0.0
4.89588975100196,14390,takeoff,0.0,0.0,0.0,0.0,0.0
4.918062192999059,14412,takeoff,0.0,0.0,0.0,0.0,0.0
4.936131369002396,14430,takeoff,0.0,0.0,0.0,0.0,0.0
4.955954680015566,14450,takeoff,0.0,0.0,0.0,0.0,0.0
4.9768504459934775,14471,takeoff,0.0,0.0,0.0,0.0,0.0
4.996758088003844,14491,takeoff,0.0,0.0,0.0,0.0,0.0
5.016632129001664,14509,takeoff,0.0,0.0,0.0,0.0,0.0
5.03501907500322,14529,takeoff,0.0,0.0,0.0,0.0,0.0
5.057009401003597,14551,takeoff,0.0,0.0,0.0,0.0,0.0
5.075006541999755,14569,takeoff,0.0,0.0,0.0,0.0,0.0
5.095611162018031,14589,takeoff,0.0,0.0,0.0,0.0,0.0
5.114973001996987,14609,takeoff,0.0,0.0,0.0,0.0,0.0
5.136885101994267,14631,takeoff,0.0,0.0,0.0,0.0,0.0
5.1567263010074385,14651,takeoff,0.0,0.0,0.0,0.0,0.0
5.176777860993752,14671,takeoff,0.0,0.0,0.0,0.0,0.0
5.1956029729917645,14689,takeoff,0.0,0.0,0.0,0.0,0.0
5.214977013005409,14709,takeoff,0.0,0.0,0.0,0.0,0.0
5.235569062002469,14729,takeoff,0.0,0.0,0.0,0.0,0.0
5.254864001995884,14749,takeoff,0.0,0.0,0.0,0.0,0.0
5.2752132000168785,14769,takeoff,0.0,0.0,0.0,0.0,0.0
5.294934502016986,14789,takeoff,0.0,0.0,0.0,0.0,0.0
5.315636840998195,14809,takeoff,0.0,0.0,0.0,0.0,0.0
5.334955122991232,14829,takeoff,0.0,0.0,0.0,0.0,0.0
5.354930563014932,14849,takeoff,0.0,0.0,0.0,0.0,0.0
5.37527842799318,14869,takeoff,0.0,0.0,0.0,0.0,0.0
5.39492830101517,14889,takeoff,0.0,0.0,0.0,0.0,0.0
5.414950391015736,14909,takeoff,0.0,0.0,0.0,0.0,0.0
5.4349763189966325,14929,takeoff,0.0,0.0,0.0,0.0,0.0
5.455065335991094,14949,takeoff,0.0,0.0,0.0,0.0,0.0
5.476114098011749,14970,takeoff,0.0,0.0,0.0,0.0,0.0
5.496052419999614,14990,takeoff,0.0,0.0,0.0,0.0,0.0
5.515098108997336,15009,takeoff,0.0,0.0,0.0,0.0,0.0
5.534995205001906,15029,takeoff,0.0,0.0,0.0,0.0,0.0
5.555621097999392,15049,takeoff,0.0,0.0,0.0,0.0,0.0
5.574980278004659,15069,takeoff,0.0,0.0,0.0,0.0,0.0
5.597164994018385,15091,takeoff,0.0,0.0,0.0,0.0,0.0
5.616520567011321,15109,takeoff,0.0,0.0,0.0,0.0,0.0
5.636804794019554,15131,takeoff,0.0,0.0,0.0,0.0,0.0
5.657005373010179,15151,takeoff,0.0,0.0,0.0,0.0,0.0
5.676785732008284,15171,takeoff,0.0,0.0,0.0,0.0,0.0
5.694954937993316,15189,takeoff,0.0,0.0,0.0,0.0,0.0
5.714941311016446,15209,takeoff,0.0,0.0,0.0,0.0,0.0
5.734930812992388,15229,takeoff,0.0,0.0,0.0,0.0,0.0
5.754980774014257,15249,takeoff,0.0,0.0,0.0,0.0,0.0
5.775187835999532,15269,takeoff,0.0,0.0,0.0,0.0,0.0
5.794919291016413,15289,takeoff,0.0,0.0,0.0,0.0,0.0
5.815022790018702,15309,takeoff,0.0,0.0,0.0,0.0,0.0
5.834921207017032,15329,takeoff,0.0,0.0,0.0,0.0,0.0
5.854931214009412,15349,takeoff,0.0,0.0,0.0,0.0,0.0
5.874897970003076,15369,takeoff,0.0,0.0,0.0,0.0,0.0
5.896012875018641,15390,takeoff,0.0,0.0,0.0,0.0,0.0
5.915990417997818,15410,takeoff,0.0,0.0,0.0,0.0,0.0
5.939853857998969,15434,takeoff,0.0,0.0,0.0,0.0,0.0
5.955931106000207,15450,takeoff,0.0,0.0,0.0,0.0,0.0
5.976122977997875,15470,takeoff,0.0,0.0,0.0,0.0,0.0
5.996682816999964,15490,takeoff,0.0,0.0,0.0,0.0,0.0
6.0180628999951296,15512,takeoff,0.0,0.0,0.0,0.0,0.0
6.037920302012935,15532,takeoff,0.0,0.0,0.0,0.0,0.0
