motor,eta,boost,file,found_contact,phase_contact,t_contact,z_contact,vz_contact,vertical_speed_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,safe_touchdown,motor_m1,motor_m2,motor_m3,motor_m4,z_cmd
3,0.5,0,motorloss_ftcboost_m3_eta0p50_b0.csv,True,max_brake_hold,11.704789876937866,0.0243707429617643,-0.4512145221233368,0.4512145221233368,0.0753259424903686,0.0587537735700607,0.06070209195830343,0.124095883501158,False,32261.0,31241.0,32767.0,33155.0,0.95
3,0.5,3000,motorloss_ftcboost_m3_eta0p50_b3000.csv,True,max_brake_hold,12.003949880599976,0.0297585632652044,-0.3945744037628174,0.3945744037628174,0.03671963257228734,0.2626059055328369,0.052321087707490485,0.137248961146266,False,32327.0,32939.0,32767.0,33727.0,0.95
3,0.5,4000,motorloss_ftcboost_m3_eta0p50_b4000.csv,True,max_brake_hold,12.204078912734984,0.0198316052556037,-0.3563475310802459,0.3563475310802459,0.021829779560352442,0.2001681923866272,0.04519627773106524,0.14789377330746192,False,32637.0,33201.0,32767.0,33787.0,0.95
3,0.5,5000,motorloss_ftcboost_m3_eta0p50_b5000.csv,True,max_brake_hold,12.354172229766846,0.0146146658807992,-0.3305776417255401,0.3305776417255401,0.018444792151301286,0.1538964807987213,0.02948399174336277,0.15500302308342837,True,32723.0,32959.0,32767.0,33483.0,0.95
3,0.5,6000,motorloss_ftcboost_m3_eta0p50_b6000.csv,True,max_brake_hold,12.55521321296692,0.0193609055131673,-0.2990491986274719,0.2990491986274719,0.015885543011280052,0.0881489589810371,0.022033348135103863,0.16808966777362278,True,32677.0,32359.0,32767.0,32805.0,0.95
3,0.5,7000,motorloss_ftcboost_m3_eta0p50_b7000.csv,True,max_brake_hold,12.903232097625732,0.0268647018820047,-0.2505004703998565,0.2505004703998565,0.00917772475168916,0.0512077435851097,0.01886333928047553,0.19788665648439732,True,32619.0,32513.0,32767.0,32629.0,0.95
3,0.5,8000,motorloss_ftcboost_m3_eta0p50_b8000.csv,True,max_brake_hold,13.253302335739136,0.0182970389723777,-0.2353254556655883,0.2353254556655883,0.0076748901152444045,0.0550488382577896,0.017633549234240747,0.19423054324186093,True,32647.0,32465.0,32767.0,32673.0,0.95
3,0.5,10000,motorloss_ftcboost_m3_eta0p50_b10000.csv,True,max_brake_hold,14.556432008743286,0.0262383520603179,-0.1705156862735748,0.1705156862735748,0.007341452035230923,0.0300654210150241,0.01605074399951618,0.23015475723103299,True,32675.0,32515.0,32767.0,32735.0,0.95
4,0.5,0,motorloss_ftcboost_m4_eta0p50_b0.csv,True,max_brake_hold,12.056042671203612,0.0192897748202085,-0.405016154050827,0.405016154050827,0.05623806691334916,0.2347465008497238,0.04337260517099581,0.10102289734995698,False,33109.0,32503.0,31693.0,32767.0,0.95
4,0.5,3000,motorloss_ftcboost_m4_eta0p50_b3000.csv,True,max_brake_hold,12.5030517578125,0.0171680282801389,-0.3438012301921844,0.3438012301921844,0.033957034513857856,0.0521897599101066,0.026469637872133474,0.11083896945091413,True,33525.0,32531.0,32585.0,32767.0,0.95
4,0.5,4000,motorloss_ftcboost_m4_eta0p50_b4000.csv,True,max_brake_hold,12.905890941619871,0.0228713043034076,-0.2947383522987366,0.2947383522987366,0.023875285643374853,0.0487465299665927,0.017714513525180123,0.12758352572459547,True,32819.0,32541.0,32233.0,32767.0,0.95
4,0.5,5000,motorloss_ftcboost_m4_eta0p50_b5000.csv,True,max_brake_hold,13.253284454345703,0.0199979804456233,-0.2619490027427673,0.2619490027427673,0.014375020521484433,0.0575576834380626,0.01599236852318697,0.14369437751562977,True,32775.0,32675.0,32419.0,32767.0,0.95
4,0.5,6000,motorloss_ftcboost_m4_eta0p50_b6000.csv,True,max_brake_hold,13.504504919052124,0.0257740411907434,-0.2509517967700958,0.2509517967700958,0.012295649309675898,0.0420832820236682,0.016434094058408268,0.16128092419958395,True,33137.0,32633.0,32819.0,32767.0,0.95
4,0.5,7000,motorloss_ftcboost_m4_eta0p50_b7000.csv,True,max_brake_hold,14.306289196014404,0.0247586090117692,-0.2146868407726287,0.2146868407726287,0.009272444810619658,0.0258422512561082,0.014005028813851152,0.17228931864064986,True,32713.0,32645.0,32487.0,32767.0,0.95
4,0.5,8000,motorloss_ftcboost_m4_eta0p50_b8000.csv,True,max_brake_hold,15.10727858543396,0.0287772398442029,-0.189730018377304,0.189730018377304,0.008200865186915781,0.0216738022863864,0.011958122040518061,0.20594947720518855,True,32673.0,32641.0,32547.0,32767.0,0.95
4,0.5,10000,motorloss_ftcboost_m4_eta0p50_b10000.csv,True,max_brake_hold,17.30518937110901,0.0278384257107973,-0.1822913438081741,0.1822913438081741,0.009510583152270788,0.029918709769845,0.008784703604518584,0.24511980260286909,True,32747.0,32645.0,32545.0,32767.0,0.95
