motor,controller,trial_seed,candidate,file,fault_to_contact_s,touchdown_vertical_speed_mps,peak_abs_vz_postfault,mean_abs_vz_postfault,integral_abs_vz_dt,max_motor_pwm_postfault,mean_max_motor_pwm_postfault,mean_motor_m1,mean_motor_m2,mean_motor_m3,mean_motor_m4,safe_touchdown
4,cem,49980011,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980011.csv,3.659879207611084,0.3314676284790039,0.3314676284790039,0.1859048461850563,0.6813908278038922,39801.0,33633.21636363636,30930.86727272727,32608.474545454545,33393.20545454545,32314.78909090909,True
4,cem,49980012,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980012.csv,3.622175216674803,0.3356642127037048,0.3356642127037048,0.19084674649981453,0.6922379500228655,39687.0,33719.487132352944,31119.417279411766,32566.909926470587,33536.29227941176,32296.479779411766,True
4,cem,49980013,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980013.csv,3.478971004486084,0.340339332818985,0.340339332818985,0.1927421427234815,0.6714681957701796,39809.0,33655.816443594646,31048.780114722755,32566.757170172084,33557.92734225621,32290.328871892925,True
4,cem,49980014,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980014.csv,3.559897661209108,0.3392707109451294,0.3392707109451294,0.18909641245432268,0.6746856259720604,39989.0,33734.478504672894,31270.02242990654,32589.846728971963,33728.19813084112,32268.471028037384,True
4,cem,49980015,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980015.csv,3.6862411499023438,0.3371241688728332,0.3371241688728332,0.1894283506208374,0.6992666127919533,39835.0,33656.354430379746,31165.804701627487,32557.78300180832,33650.69439421338,32285.25678119349,True
4,cem,49980016,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980016.csv,3.6400182247161883,0.3420900404453277,0.3420900404453277,0.1923908800945721,0.7013747239221215,39785.0,33646.25411334552,31129.482632541134,32559.482632541134,33515.70566727605,32304.91407678245,True
4,cem,49980017,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980017.csv,3.7613322734832746,0.3398401141166687,0.3398401141166687,0.1866967269491437,0.7037274950554724,40009.0,33686.01061946902,31273.617699115046,32554.86017699115,33682.23362831859,32284.78761061947,True
4,cem,49980018,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980018.csv,3.520942449569702,0.3347802758216858,0.3347802758216858,0.18982377262268435,0.6696594636532375,39817.0,33638.85822306238,30916.17391304348,32548.65406427221,33396.608695652176,32272.969754253307,True
4,cem,49980019,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980019.csv,3.4612019062042236,0.3515090644359588,0.3515090644359588,0.19784666013617355,0.6863204351004095,39867.0,33729.092307692306,31261.115384615383,32569.60769230769,33717.26153846154,32261.342307692306,False
4,cem,49980020,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980020.csv,3.660102128982544,0.346155434846878,0.346155434846878,0.18853664060715924,0.6911156429595111,40105.0,33693.14909090909,31234.94181818182,32555.04,33687.490909090906,32278.54,True
4,cem,49980021,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980021.csv,3.6408729553222656,0.3413896262645721,0.3413896262645721,0.1909827561853232,0.696451953259885,39823.0,33676.42047531993,31068.606946983546,32586.19744058501,33471.00914076783,32305.804387568554,True
4,cem,49980022,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980022.csv,3.579873085021971,0.3287862539291382,0.3287862539291382,0.18653829891726265,0.6689331070701119,39985.0,33757.49814126394,31314.74349442379,32585.843866171002,33753.457249070634,32281.52973977695,True
4,cem,49980023,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980023.csv,3.5786261558532715,0.3371914029121399,0.3371914029121399,0.1912298720467621,0.6856282321168489,39625.0,33710.089219330854,31260.31970260223,32534.368029739777,33702.58736059479,32276.45724907063,True
4,cem,49980024,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980024.csv,3.619839906692505,0.3485549390316009,0.3485549390316009,0.19380910145264352,0.7032167071406914,39823.0,33779.038602941175,31352.88786764706,32573.163602941175,33769.288602941175,32268.59926470588,True
4,cem,49980025,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980025.csv,3.4620048999786377,0.3441666066646576,0.3441666066646576,0.19405555083067155,0.6730326191193985,39885.0,33737.071153846155,31085.71923076923,32546.419230769232,33526.75961538462,32298.83653846154,True
4,cem,49980026,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980026.csv,3.681157350540161,0.3258682787418365,0.3258682787418365,0.18245064641204184,0.6726609143751343,40025.0,33612.728752260395,31068.55877034358,32587.795660036165,33571.473779385175,32284.649186256782,True
4,cem,49980027,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980027.csv,3.7404372692108154,0.3265357613563537,0.3265357613563537,0.18126746122576162,0.6793519812103936,39567.0,33680.58185053381,31176.930604982208,32605.008896797153,33680.485765124555,32276.637010676157,True
4,cem,49980028,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980028.csv,3.561025381088257,0.3453749418258667,0.3453749418258667,0.19402292779427063,0.691247834927073,39953.0,33730.4925093633,31311.95692883895,32535.73595505618,33716.769662921346,32266.2265917603,True
