sequence_index,motor,repetition_within_motor,trial_seed,selected_policy,tag,expected_csv
78,1,20,15280020,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280020,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280020.csv
79,2,17,25280017,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280017,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280017.csv
80,2,18,25280018,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280018,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280018.csv
81,2,19,25280019,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280019,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280019.csv
82,2,20,25280020,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280020,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280020.csv
83,1,21,15280021,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280021,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280021.csv
84,3,22,35280022,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280022,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280022.csv
85,1,22,15280022,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280022,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280022.csv
86,4,22,45280022,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280022,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280022.csv
87,3,23,35280023,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280023,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280023.csv
88,4,23,45280023,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280023,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280023.csv
89,1,23,15280023,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280023,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280023.csv
90,3,24,35280024,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280024,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280024.csv
91,2,21,25280021,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280021,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280021.csv
92,2,22,25280022,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280022,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280022.csv
93,4,24,45280024,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280024,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280024.csv
94,1,24,15280024,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280024,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280024.csv
95,3,25,35280025,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280025,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280025.csv
96,2,23,25280023,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280023,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280023.csv
97,3,26,35280026,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280026,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280026.csv
98,4,25,45280025,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280025,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280025.csv
99,1,25,15280025,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280025,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280025.csv
100,2,24,25280024,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280024,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280024.csv
101,2,25,25280025,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280025,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280025.csv
102,4,26,45280026,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280026,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280026.csv
103,4,27,45280027,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280027,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280027.csv
104,3,27,35280027,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280027,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280027.csv
105,1,26,15280026,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280026,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280026.csv
106,1,27,15280027,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280027,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280027.csv
107,2,26,25280026,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280026,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280026.csv
108,3,28,35280028,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280028,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280028.csv
