motor,eta,candidate,r1,r2,r3,r4,predicted_vz,corrected_vz,loss,config
4,0.496,opp_m2_12000,0,12000,0,0,0.3476,0.3546,27.65187200000046,cem_tuned
4,0.496,opp_m2_12000,0,12000,0,0,0.3476,0.3546,27.65187200000046,cem_tuned
1,0.4965,opp_m3_12000,0,0,12000,0,0.3446,0.3486,1.7624448000000172,cem_tuned
1,0.4965,opp_m3_12000,0,0,12000,0,0.3446,0.3486,1.7624448000000172,cem_tuned
1,0.4965,opp_m3_12000,0,0,12000,0,0.3446,0.3486,1.7624448000000172,cem_tuned
1,0.4965,opp_m3_12000,0,0,12000,0,0.3446,0.3486,1.7624448000000172,cem_tuned
1,0.4965,opp_m3_12000,0,0,12000,0,0.3446,0.3486,1.7624448000000172,cem_tuned
1,0.4965,opp_m3_12000,0,0,12000,0,0.3446,0.3486,1.7624448000000172,cem_tuned
2,0.4965,balanced_3000_0_3000_12000,3000,0,3000,12000,0.3437,0.3687,401.97611200000205,cem_tuned
2,0.4965,balanced_3000_0_3000_12000,3000,0,3000,12000,0.3437,0.3687,401.97611200000205,cem_tuned
2,0.4965,balanced_3000_0_3000_12000,3000,0,3000,12000,0.3437,0.3687,401.97611200000205,cem_tuned
2,0.4965,balanced_3000_0_3000_12000,3000,0,3000,12000,0.3437,0.3687,401.97611200000205,cem_tuned
2,0.4965,balanced_3000_0_3000_12000,3000,0,3000,12000,0.3437,0.3687,401.97611200000205,cem_tuned
2,0.4965,balanced_3000_0_3000_12000,3000,0,3000,12000,0.3437,0.3687,401.97611200000205,cem_tuned
3,0.4965,opp_m1_13000,13000,0,0,0,0.34264999999999995,0.34264999999999995,0.4762431999999971,cem_tuned
3,0.4965,opp_m1_13000,13000,0,0,0,0.34264999999999995,0.34264999999999995,0.4762431999999971,cem_tuned
3,0.4965,opp_m1_13000,13000,0,0,0,0.34264999999999995,0.34264999999999995,0.4762431999999971,cem_tuned
3,0.4965,opp_m1_13000,13000,0,0,0,0.34264999999999995,0.34264999999999995,0.4762431999999971,cem_tuned
3,0.4965,opp_m1_13000,13000,0,0,0,0.34264999999999995,0.34264999999999995,0.4762431999999971,cem_tuned
3,0.4965,opp_m1_13000,13000,0,0,0,0.34264999999999995,0.34264999999999995,0.4762431999999971,cem_tuned
4,0.4965,opp_m2_12000,0,12000,0,0,0.3446,0.3516,5.943001600000141,cem_tuned
4,0.4965,opp_m2_12000,0,12000,0,0,0.3446,0.3516,5.943001600000141,cem_tuned
4,0.4965,opp_m2_12000,0,12000,0,0,0.3446,0.3516,5.943001600000141,cem_tuned
4,0.4965,opp_m2_12000,0,12000,0,0,0.3446,0.3516,5.943001600000141,cem_tuned
4,0.4965,opp_m2_12000,0,12000,0,0,0.3446,0.3516,5.943001600000141,cem_tuned
4,0.4965,opp_m2_12000,0,12000,0,0,0.3446,0.3516,5.943001600000141,cem_tuned
1,0.497,opp_m3_12000,0,0,12000,0,0.3416,0.3426,0.4869216,cem_tuned
1,0.497,opp_m3_12000,0,0,12000,0,0.3416,0.3426,0.4869216,cem_tuned
1,0.497,opp_m3_12000,0,0,12000,0,0.3416,0.3426,0.4869216,cem_tuned
1,0.497,opp_m3_12000,0,0,12000,0,0.3416,0.3426,0.4869216,cem_tuned
1,0.497,opp_m3_12000,0,0,12000,0,0.3416,0.3426,0.4869216,cem_tuned
1,0.497,opp_m3_12000,0,0,12000,0,0.3416,0.3426,0.4869216,cem_tuned
2,0.497,balanced_3000_0_3000_12000,3000,0,3000,12000,0.3407,0.3467,1.339404000000006,cem_tuned
2,0.497,balanced_3000_0_3000_12000,3000,0,3000,12000,0.3407,0.3467,1.339404000000006,cem_tuned
2,0.497,balanced_3000_0_3000_12000,3000,0,3000,12000,0.3407,0.3467,1.339404000000006,cem_tuned
2,0.497,balanced_3000_0_3000_12000,3000,0,3000,12000,0.3407,0.3467,1.339404000000006,cem_tuned
2,0.497,balanced_3000_0_3000_12000,3000,0,3000,12000,0.3407,0.3467,1.339404000000006,cem_tuned
2,0.497,balanced_3000_0_3000_12000,3000,0,3000,12000,0.3407,0.3467,1.339404000000006,cem_tuned
3,0.497,opp_m1_13000,13000,0,0,0,0.33964999999999995,0.33964999999999995,0.30309639999999827,cem_tuned
3,0.497,opp_m1_13000,13000,0,0,0,0.33964999999999995,0.33964999999999995,0.30309639999999827,cem_tuned
3,0.497,opp_m1_13000,13000,0,0,0,0.33964999999999995,0.33964999999999995,0.30309639999999827,cem_tuned
3,0.497,opp_m1_13000,13000,0,0,0,0.33964999999999995,0.33964999999999995,0.30309639999999827,cem_tuned
3,0.497,opp_m1_13000,13000,0,0,0,0.33964999999999995,0.33964999999999995,0.30309639999999827,cem_tuned
3,0.497,opp_m1_13000,13000,0,0,0,0.33964999999999995,0.33964999999999995,0.30309639999999827,cem_tuned
4,0.497,opp_m2_12000,0,12000,0,0,0.3416,0.3426,0.5440752,cem_tuned
