motor,eta,protocol_id,trial_seed,controller,allocator_config,rows,actual_fault_t,post_fault_rows,active_post_fault_rows,contact_found,safe_touchdown,contact_t,fault_to_contact_s,contact_phase,vertical_speed_mps,vertical_speed_margin_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,vertical_speed_ok,horizontal_speed_ok,roll_pitch_ok,angular_rate_ok,drift_ok,fault_motor_allocation,expected_applied_pwm,logged_applied_pwm,pinv_active_mask,pinv_err_thrust,pinv_err_yaw,pinv_objective,summary_file
2,0.496,seeded_ic_v1,24980008,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4197,10.024025440216064,2700,2610,True,True,15.2039315700531,5.179906129837036,adaptive_brake,0.3309476673603058,0.01905233263969419,0.008116539703797178,0.02504170872271061,0.07563609575083204,0.009032282499669675,True,True,True,True,True,65535,32505,32505,2,-4719.640625,117963.640625,623406528.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m2_eta0p496_seededpinv_pinv_m2_eta0p496_seed24980008_summary.csv
2,0.496,seeded_ic_v1,24980009,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4164,9.807258367538452,2700,2613,True,True,15.10636591911316,5.299107551574707,adaptive_brake,0.32478585839271545,0.025214141607284524,0.007885361777825412,0.010315190069377422,0.08002024311387555,0.03293487869948369,True,True,True,True,True,65535,32505,32505,2,-4719.640625,117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m2_eta0p496_seededpinv_pinv_m2_eta0p496_seed24980009_summary.csv
2,0.496,seeded_ic_v1,24980010,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4200,10.04702615737915,2700,2613,True,True,15.306192874908447,5.259166717529297,adaptive_brake,0.32875320315361023,0.02124679684638975,0.00786625114778272,0.016854112967848778,0.07613742432452998,0.029217562953560657,True,True,True,True,True,65535,32505,32505,2,-4719.640625,117963.640625,623406592.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m2_eta0p496_seededpinv_pinv_m2_eta0p496_seed24980010_summary.csv
2,0.496,seeded_ic_v1,24980011,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4230,10.245584487915039,2700,2619,True,True,15.445915460586548,5.200330972671509,adaptive_brake,0.33234870433807373,0.017651295661926247,0.00743428139660099,0.039314154535532,0.07713844239255331,0.03896771516314071,True,True,True,True,True,65535,32505,32505,2,-4719.640625,117963.640625,623406592.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m2_eta0p496_seededpinv_pinv_m2_eta0p496_seed24980011_summary.csv
2,0.496,seeded_ic_v1,24980012,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4185,9.965435266494751,2697,2610,True,True,15.132561683654785,5.167126417160034,adaptive_brake,0.33430442214012146,0.015695577859878518,0.008331439947632293,0.02514965459704399,0.07951697475960305,0.03388315432320712,True,True,True,True,True,65535,32505,32505,2,-4719.640625,117963.640625,623406720.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m2_eta0p496_seededpinv_pinv_m2_eta0p496_seed24980012_summary.csv
2,0.496,seeded_ic_v1,24980013,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4158,9.764880657196045,2700,2613,True,True,15.027920484542847,5.263039827346802,adaptive_brake,0.33041971921920776,0.019580280780792214,0.007989042735871385,0.019789250567555428,0.07899207102728793,0.02009343761743845,True,True,True,True,True,65535,32505,32505,2,-4719.640625,117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m2_eta0p496_seededpinv_pinv_m2_eta0p496_seed24980013_summary.csv
2,0.496,seeded_ic_v1,24980014,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4209,10.146337270736694,2694,2607,True,True,15.325359582901001,5.179022312164307,adaptive_brake,0.33638498187065125,0.013615018129348733,0.008084774541614123,0.025422891601920128,0.07775493290146122,0.0035196207731343263,True,True,True,True,True,65535,32505,32505,2,-4719.640625,117963.640625,623406592.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m2_eta0p496_seededpinv_pinv_m2_eta0p496_seed24980014_summary.csv
2,0.496,seeded_ic_v1,24980015,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4176,9.885829448699951,2700,2622,True,True,15.14484453201294,5.259015083312988,adaptive_brake,0.327064573764801,0.022935426235198952,0.007579863094840719,0.01935897395014763,0.07563376063747874,0.04874426140498831,True,True,True,True,True,65535,32505,32505,2,-4719.640625,117963.640625,623406592.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m2_eta0p496_seededpinv_pinv_m2_eta0p496_seed24980015_summary.csv
2,0.496,seeded_ic_v1,24980016,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4188,9.97965931892395,2700,2610,True,True,15.178600311279297,5.198940992355347,adaptive_brake,0.33774334192276,0.012256658077239968,0.00734104518499595,0.03697538748383522,0.08096753949655025,0.033946180985269865,True,True,True,True,True,65535,32505,32505,2,-4719.640625,117963.640625,623406656.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m2_eta0p496_seededpinv_pinv_m2_eta0p496_seed24980016_summary.csv
2,0.496,seeded_ic_v1,24980017,pinv,pinv_bounded_wls_w1_1_1_0.2_lambda1e-06,4197,10.024733781814575,2700,2616,True,True,15.225496292114258,5.200762510299683,adaptive_brake,0.3387104570865631,0.011289542913436867,0.0074301087790089124,0.03604675456881523,0.0785924717536243,0.030718171484359322,True,True,True,True,True,65535,32505,32505,2,-4719.640625,117963.640625,623406592.0,results/final/pinv_baseline/seeded_eta0p496/production_30/summaries/qp_event_allocator_m2_eta0p496_seededpinv_pinv_m2_eta0p496_seed24980017_summary.csv
