motor,trial_seed,pinv_safe,qplite_safe,pinv_vertical_speed_mps,qplite_vertical_speed_mps,vertical_speed_difference_pinv_minus_qplite,both_safe,pinv_only_safe,qplite_only_safe,both_unsafe,qplite_source_csv
4,44980021,False,True,0.36391863226890564,0.3452467918395996,0.01867184042930603,False,False,True,False,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980021.csv
4,44980022,False,False,0.362041175365448,0.3502519130706787,0.011789262294769287,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980022.csv
4,44980023,False,False,0.38277754187583923,0.3611603081226349,0.021617233753204346,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980023.csv
4,44980024,False,False,0.36468803882598877,0.36664021015167236,-0.0019521713256835938,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980024.csv
4,44980025,False,True,0.37624022364616394,0.3460095524787903,0.030230671167373657,False,False,True,False,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980025.csv
4,44980026,False,True,0.3637312054634094,0.3478580713272095,0.01587313413619995,False,False,True,False,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980026.csv
4,44980027,False,False,0.37994682788848877,0.358132541179657,0.021814286708831787,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980027.csv
4,44980028,False,False,0.3788995146751404,0.3571207821369171,0.021778732538223267,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980028.csv
4,44980029,False,False,0.37620511651039124,0.3509350121021271,0.02527010440826416,False,False,False,True,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980029.csv
4,44980030,False,True,0.3709125816822052,0.3477805554866791,0.023132026195526123,False,False,True,False,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980030.csv
