configuration,motor,trial_seed,source_csv,rows,actual_fault_t,fault_z,fault_vz,contact_found,contact_t,fault_to_contact_s,safe_touchdown,vertical_speed_mps,vertical_speed_margin_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,vertical_speed_ok,horizontal_speed_ok,roll_pitch_ok,angular_rate_ok,drift_ok
qplite,4,44980029,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980029.csv,4207,10.084479331970215,0.7263486981391907,-0.003918035421520472,True,13.363669157028198,3.2791898250579834,False,0.3509350121021271,-0.0009350121021270974,0.013855127852854027,0.09339006245136261,0.025220235805666905,0.2619396131702195,False,True,True,True,True
qplite,4,44980030,logs/qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980030.csv,4174,9.864181756973267,0.7129794359207153,-0.0038280575536191463,True,13.045185327529907,3.1810035705566406,True,0.3477805554866791,0.0022194445133209006,0.01363907568380391,0.12407389283180237,0.02361748337411666,0.29736418732983727,True,True,True,True,True
cem_tuned,1,14980001,logs/qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed14980001.csv,4173,9.863595485687256,0.6966227293014526,-0.003722325200214982,True,13.044825792312622,3.181230306625366,True,0.3125245273113251,0.037475472688674905,0.01973426298831896,0.19196031987667084,0.022648096443642334,0.3108897400440682,True,True,True,True,True
cem_tuned,1,14980002,logs/qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed14980002.csv,4167,9.823931455612183,0.7253623008728027,-0.00397723400965333,True,12.965215921401978,3.141284465789795,True,0.3373548090457916,0.012645190954208352,0.01842110710310232,0.15592455863952637,0.023200686527377074,0.3025480460623142,True,True,True,True,True
cem_tuned,1,14980003,logs/qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed14980003.csv,4224,10.203730583190918,0.7224331498146057,-0.003658384084701538,True,13.446855783462524,3.2431252002716064,True,0.31995049118995667,0.030049508810043313,0.020421444031569466,0.19183935225009918,0.02127383590413546,0.329499294029764,True,True,True,True,True
cem_tuned,1,14980004,logs/qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed14980004.csv,4194,10.006094694137573,0.7033973932266235,-0.003945728298276663,True,13.06713342666626,3.0610387325286865,True,0.3271494209766388,0.022850579023361184,0.020187472493753907,0.18074578046798706,0.022571356925440444,0.3094721367771152,True,True,True,True,True
cem_tuned,1,14980005,logs/qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed14980005.csv,4197,10.024822473526001,0.732649028301239,-0.004115418065339327,True,13.223371744155884,3.198549270629883,True,0.334823876619339,0.015176123380660989,0.0179953787336306,0.13693614304065704,0.021815767671881807,0.28542491543091786,True,True,True,True,True
cem_tuned,1,14980006,logs/qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed14980006.csv,4221,10.184245109558105,0.69989413022995,-0.003518861485645175,True,13.233220338821411,3.0489752292633057,True,0.3320824205875397,0.017917579412460305,0.02076719780094955,0.18632328510284424,0.023784152689227567,0.3118647927551432,True,True,True,True,True
cem_tuned,1,14980007,logs/qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed14980007.csv,4164,9.80509901046753,0.7155791521072388,-0.00407071691006422,True,13.024212837219238,3.219113826751709,True,0.31652209162712097,0.033477908372879006,0.020136889239204984,0.19252721965312958,0.022684503887963857,0.3278432874183843,True,True,True,True,True
cem_tuned,1,14980008,logs/qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed14980008.csv,4176,9.884701251983643,0.7164696455001831,-0.00401247339323163,True,12.963836908340454,3.0791356563568115,True,0.33504655957221985,0.01495344042778013,0.018060884576684474,0.14959070086479187,0.02413886961315874,0.30627782402136516,True,True,True,True,True
