eta,predicted_safe_probability
0.495518,0.3189257838700942
0.495519,0.32183186492343946
0.49552,0.3247517999557805
0.495521,0.3276854263467702
0.495522,0.3306325774979267
0.495523,0.33359308285027217
0.495524,0.3365667679068383
0.495525,0.3395534542548158
0.495526,0.34255295959262017
0.495527,0.34556509775660027
0.495528,0.34858967875270286
0.495529,0.3516265087877709
0.49552999999999997,0.3546753903056594
0.495531,0.3577361220239846
0.495532,0.3608084989731679
0.495533,0.36389231253948684
0.495534,0.3669873505078679
0.495535,0.37009339710970346
0.495536,0.3732102330702032
0.495537,0.3763376356607665
0.495538,0.37947537875084264
0.495539,0.38262323286479805
0.49554,0.38578096523821503
0.495541,0.3889483398791742
0.495542,0.39212511762890334
0.495543,0.39531105622737545
0.495544,0.39850591037820016
0.495545,0.40170943181841884
0.495546,0.40492136938751105
0.495547,0.40814146910125026
0.495548,0.4113694742246792
0.495549,0.4146051253498691
0.49555,0.4178481604727011
0.495551,0.4210983150743547
0.495552,0.42435532220171074
0.495553,0.42761891255237916
0.495554,0.43088881455852407
0.495555,0.43416475447522024
0.495556,0.4374464564674849
0.495557,0.44073364270173776
0.495558,0.44402603343580777
0.49555899999999997,0.44732334711307237
0.49556,0.4506253004561088
0.495561,0.4539316085616092
0.495562,0.4572419849983333
0.495563,0.46055614190344396
0.495564,0.4638737900828444
0.495565,0.4671946391095674
0.495566,0.47051839742603024
0.495567,0.4738447724441896
0.495568,0.4771734706494185
0.495569,0.48050419770212827
0.49557,0.4838366585429655
0.495571,0.4871705574955952
0.495572,0.490505598372908
0.495573,0.4938414845806528
0.495574,0.4971779192243386
0.495575,0.500514605213402
0.495576,0.5038512453684839
0.495577,0.507187542525813
0.495578,0.5105231996445383
0.495579,0.5138579199110068
0.49558,0.5171914068458316
0.495581,0.5205233644077456
0.495582,0.5238534971000839
0.495583,0.527181510073897
0.495584,0.5305071092335324
0.495585,0.5338300013386922
0.495586,0.5371498941088019
0.495587,0.5404664963237065
0.495588,0.5437795179263359
0.495589,0.5470886701226576
0.49559,0.5503936654806876
0.495591,0.5536942180303234
0.495592,0.5569900433593363
0.495593,0.5602808587111436
0.495594,0.563566383078426
0.495595,0.5668463372983822
0.495596,0.570120444143707
0.495597,0.5733884284150699
0.495598,0.576650017029202
0.495599,0.5799049391083521
0.4956,0.5831529260652455
0.495601,0.5863937116892879
0.495602,0.5896270322281741
0.495603,0.5928526264706243
0.495604,0.5960702358244375
0.495605,0.5992796043955626
0.495606,0.6024804790624079
0.495607,0.6056726095510656
0.495608,0.6088557485057086
0.495609,0.6120296515598055
0.49561,0.6151940774024505
0.495611,0.6183487878454268
0.495612,0.6214935478853358
0.495613,0.6246281257663842
0.495614,0.6277522930381971
0.495615,0.6308658246142232
0.495616,0.6339684988251374
0.495617,0.6370600974726043
0.495618,0.640140405879052
0.495619,0.6432092129351866
0.49562,0.6462663111469298
0.495621,0.6493114966775041
0.495622,0.6523445693899423
0.495623,0.655365332884579
0.495624,0.6583735945369367
0.495625,0.6613691655306141
0.495626,0.6643518608905483
0.495627,0.667321499511306
0.495628,0.6702779041857372
0.495629,0.6732209016286959
0.49563,0.6761503225011174
0.495631,0.6790660014292098
0.495632,0.6819677770240055
0.495633,0.6848554918960802
0.495634,0.6877289926706434
0.495635,0.6905881299978595
0.495636,0.6934327585635552
0.495637,0.6962627370952317
0.495638,0.6990779283684818
0.495639,0.701878199208793
0.49564,0.7046634204937839
0.495641,0.7074334671509093
0.495642,0.7101882181556344
0.495643,0.712927556525168
0.49564400000000003,0.7156513693127043
0.495645,0.7183595475973173
0.495646,0.7210519864742626
0.495647,0.7237285850419235
0.495648,0.7263892463869791
0.495649,0.7290338775692942
0.49565,0.7316623896028722
0.495651,0.7342746974374887
0.495652,0.7368707199363478
0.495653,0.7394503798544741
0.495654,0.7420136038132434
0.495655,0.7445603222757031
0.495656,0.7470904695181502
0.495657,0.7496039836025579
0.495658,0.7521008063453776
0.495659,0.7545808832872509
0.49566,0.7570441636592156
0.495661,0.7594906003498838
0.495662,0.761920149869235
0.495663,0.7643327723134423
0.495664,0.7667284313264363
0.495665,0.7691070940625613
0.495666,0.7714687311460923
0.495667,0.7738133166319066
0.495668,0.7761408279631341
0.495669,0.7784512459300252
0.49567,0.7807445546259165
0.49567100000000003,0.7830207414044735
0.495672,0.7852797968341495
0.49567300000000003,0.7875217146539815
0.495674,0.7897464917267176
0.495675,0.7919541279932157
0.495676,0.7941446264250225
0.495677,0.7963179929764486
0.495678,0.7984742365373676
0.495679,0.800613368883762
0.49568,0.8027354046297869
