condition_index,condition_id,parameter,factor,bracket_low,bracket_high,eta_index,controller,motor,eta,rep,trial_seed,protocol_id,ofat_protocol_id
1,mass_minus10,mass,0.90,0.44375000,0.45000000,5,pinv,2,0.44791667,30,63300030,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,1,63300001,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,2,63300002,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,3,63300003,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,4,63300004,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,5,63300005,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,6,63300006,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,7,63300007,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,8,63300008,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,9,63300009,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,10,63300010,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,11,63300011,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,12,63300012,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,13,63300013,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,14,63300014,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,15,63300015,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,16,63300016,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,17,63300017,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,18,63300018,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,19,63300019,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,20,63300020,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,21,63300021,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,22,63300022,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,23,63300023,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,24,63300024,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
1,mass_minus10,mass,0.90,0.44375000,0.45000000,6,pinv,2,0.44895833,25,63300025,seeded_ic_v1,crazyflie_ofat_pinv_fine_v1
